filename,quality_score,original_chars,corrected_chars
00000000_26장 6~13절 어떤 여자가 예수님 머리에 향유를 붓다.txt,60,1799,2037
00000000_27장 11~14절 빌라도의 심문.txt,60,1797,2035
00000000_27장 20~22절 군중 콤플렉스.txt,60,2321,2496
00000000_27장 27~31절 조롱.txt,60,2327,2503
00000000_27장 32~44절 기형적 성격.txt,60,2155,2352
00000000_27장 3~10절 죽긴 왜 죽어.txt,70,1630,1827
00000000_27장 54~56절 숨을 거두시다.txt,70,1571,1806
00000000_27장 57~61절 죽음의 묵상.txt,70,1597,1732
00000000_27장 62~67절 모함의 원리.txt,70,2386,2553
00000000_28장 11~15절 나잇값을 못하는 어른들.txt,60,2129,2340
00000000_28장 16~20절 제자들에게 사명을 부여하시는 그리스도.txt,100,2265,2631
00000000_28장 1~8절 부활이란.txt,70,2228,2419
00000000_28장 9~10절 여자들에게 나타나시다.txt,60,2960,3213
00000000_2월 25일 우리는 코이노니아.txt,70,13113,13309
00000000_2월11일 코이노니아_김수환 추기경님 특집.txt,60,9821,10024
00000000_2장 13~15절 이집트로 피신하시다.txt,60,2027,2245
00000000_2장 16 18절 아기들을 학살하다.txt,70,1887,2039
00000000_2장 19~ 23절 에집트에서 돌아오다.txt,60,2682,2892
00000000_2장 1절~6절 [동방박사들의 방문].txt,60,2466,2612
00000000_3월 11일 우리는 코이노니아_열혈사제.txt,70,12669,12870
00000000_3월 2주차_홍성남 신부님의 5분 강론 (있는 그대로의 자기를 존중하라).txt,60,2433,2652
00000000_3월 3주차_홍성남 신부님의 5분 강론 (기억에 대해서).txt,70,2200,2410
00000000_3월 4일 우리는 코이노니아_3.1절 100주년.txt,60,11806,12012
00000000_3월 4주차_홍성남 신부님의 5분 강론 (주제정상이란).txt,70,2183,2394
00000000_3월 마지막주_8회 홍성남 신부님의 5분 강론 (주제 정상에 대한 두번째 이야기).txt,90,2830,3064
00000000_3장 13~17절 세례를 받으신 예수.txt,70,1796,2013
00000000_3장 1~6절 광야에 나타난 세례자 요한.txt,70,1670,1824
00000000_4월 첫주 홍성남 신부님의 5분 강론 (주제욕구).txt,60,3944,4151
00000000_4장 12~17절 갈릴래아 전도 시작.txt,70,2082,2314
00000000_4장 18~22절 첫 번째로 부르심 받은 어부 네 사람.txt,60,2283,2535
00000000_4장 1절 광야에서 유혹을 받으신 예수.txt,70,1606,1879
00000000_4장 23~25절 첫 전도여행.txt,90,1902,2224
00000000_5분강론 4월 1주차 10회 (주제스트레스).txt,60,2668,2872
"00000000_5장 13~16절 세상의 소금, 세상의 빛.txt",60,1860,2123
00000000_5장 17~20절 율법의 완성.txt,100,1720,2035
00000000_5장 1~3절 산상설교.txt,70,2046,2300
00000000_5장 21~26절 성내지 말라.txt,70,2428,2680
00000000_5장 27~30절 간음하지 말라.txt,60,1526,1737
00000000_5장 38~42절 보복하지 말라.txt,70,1883,2096
00000000_5장 43~48절 원수를 사랑하여라.txt,60,2168,2365
00000000_6장 14~15절 주의 기도.txt,70,1612,1833
00000000_6장 16~18절 단식에 대한 가르침.txt,70,1840,2066
00000000_6장 19~21절 하늘에 재물을 쌓으라.txt,60,2209,2400
00000000_6장 1~ 4절 자선에 대한 가르침.txt,70,2323,2547
00000000_6장 22~23절 눈은 몸의 등불.txt,60,2169,2387
00000000_6장 24절 하느님이냐 재물이냐.txt,60,2007,2198
00000000_6장 25절 먼저 하느님의 나라를 구하라.txt,70,2010,2249
00000000_6장 5~ 6절 기도에 대한 가르침.txt,70,1600,1826
00000000_7장 12절 율법과 예언서의 정신.txt,60,1987,2218
00000000_7장 13~14절 좁은문.txt,70,1898,2067
00000000_7장 15~18절 열매를 보고 나무를 안다.txt,70,2427,2642
00000000_7장 21~23절 나는 너희를 알지 못한다.txt,70,2107,2343
00000000_7장 24~27절 말씀을 듣고 실행하라.txt,60,1884,2123
00000000_7장 6절 거룩한것을 욕되게 하지 말라.txt,70,1436,1676
"00000000_7장 7절~11절 구하라, 찾으라, 문을 두드려라.txt",60,1764,2013
00000000_8장 14~17절 많은 병자를 고치신 예수.txt,70,1654,1889
00000000_8장 18~22절 예수를 따르려면.txt,70,1676,1914
00000000_8장 23~27절 잔잔해진 풍랑.txt,70,1849,2037
00000000_8장 28~34절 마귀와 돼지 떼.txt,70,2234,2513
00000000_8장 2~4절 나병 환자를 고치시다.txt,60,2086,2300
00000000_8장 5~13절 백인대장의 병든 종을 고치시다.txt,70,1878,2147
00000000_9장 14~17절 단식에 대한 질문.txt,60,1825,2018
00000000_9장 18~22절 예수의 옷에 손을 댄 여자.txt,60,2207,2397
00000000_9장 1~3절 중풍병자를 고치신 예수.txt,60,2055,2268
00000000_9장 27~31절 소경 두 사람을 고치심.txt,60,2261,2494
00000000_9장 32~34절 벙어리를 고치심.txt,70,1988,2218
00000000_9장 35~38절 목자없는 양.txt,70,2111,2304
00000000_9장 9~13절 마태오를 부르심.txt,70,2021,2235
"00000000_[10분 강의]227회 화는 심리적 배설물, 참지 말고 싸라!.txt",60,8145,8490
00000000_[10분 강의]제 12회 (분노 제1편).txt,90,2284,2346
00000000_[10분 강의]제 13회 (분노 제2편).txt,90,2324,2500
00000000_[10분 강의]제 14회 (분노 제3편).txt,90,2068,2242
00000000_[10분 강의]제 15회 (분노 제4편).txt,90,3053,2965
00000000_[10분 강의]제 16회 (분노 제5편).txt,90,3320,3402
00000000_[10분 강의]제 17회 (분노 제6편).txt,90,2035,1874
00000000_[10분 강의]제 18회 (분노 제 마지막 편).txt,90,4957,4282
00000000_[10분 강의]제 19회 (마음 편하게 만드는 법).txt,90,5085,4605
00000000_[10분 강의]제 20회 (분위기 전환용 이야기).txt,90,4512,4732
00000000_[10분 강의]제 21회 (사람 마음에 대한 이야기 1).txt,90,3267,3226
00000000_[10분 강의]제 22회 (사람 마음에 대한 이야기 2).txt,90,4225,4479
00000000_[10분 강의]제 23회 (사람 마음에 대한 이야기 3).txt,90,3853,3978
00000000_[10분 강의]제 24회 (부활).txt,80,1636,1622
00000000_[10분 강의]제 25회 (흙).txt,100,1097,1228
"00000000_[10분 강의]제 26회 (선한자아,악한자아).txt",90,2810,2680
"00000000_[10분 강의]제 27회 (분심, 약함과 약점에 대해서).txt",90,2295,2424
00000000_[10분 강의]제 28회 (심리치료와 영성생활).txt,90,3472,3580
00000000_[10분 강의]제 29회 (신경증적인 신앙).txt,90,2684,2553
00000000_[10분 강의]제 30회 (회개에 대해서).txt,80,2363,2526
00000000_[10분 강의]제 31회 (영화 기생충을 통해 보는 심리).txt,80,2366,2541
00000000_[10분 강의]제 33회 (심리학관점에서 본 성경).txt,80,5153,4546
00000000_[10분 강의]제 34회 (답을 주는 사람들).txt,80,2819,2979
00000000_[10분 강의]제 35회 (관계맺기).txt,80,1705,1946
00000000_[10분 강의]제 36회 (사람이냐 괴물이냐).txt,100,2039,2052
00000000_[10분 강의]제 37회 (신앙생활의 수준).txt,80,3227,3317
"00000000_[10분 강의]제 38회 (마태복음 7장 19절, 불에 던져진 나무).txt",90,2725,2846
00000000_[10분 강의]제 39회 (더 나은 삶을 위하여).txt,80,2113,2320
00000000_[10분 강의]제 40회 (용서와 화해).txt,80,1848,2041
00000000_[10분 강의]제 41회 (무시 ; 왜 나한테 이러는 거야).txt,80,2871,3001
00000000_[10분 강의]제 42회 (종교정신병리학) 1부.txt,70,3345,3657
00000000_[10분 강의]제 43회 (종교정신병리학) 2부.txt,70,3604,3626
00000000_[10분 강의]제 44회 (인종차별주의자의 심리는 무엇인가).txt,90,3078,3304
00000000_[10분 강의]제 45회 (사이비종교에 빠진 사람들).txt,90,1859,1922
00000000_[10분 강의]제 50회 (일이 잘못 되었을 때).txt,80,2359,2347
00000000_[10분 강의]제 51회 (생각이 많은 사람).txt,80,1818,2057
00000000_[10분 강의]제 52회 (건강염려증).txt,90,2390,2278
00000000_[10분 강의]제 53회 (함께 일하는 사람에 대한 4가지 감정).txt,80,1908,2122
00000000_[10분 강의]제 54회 (환경의 중요함).txt,90,1472,1699
00000000_[10분 강의]제 55회 (얻는다는 것).txt,90,1723,1951
00000000_[10분 강의]제 56회 (균형의 영성).txt,90,2164,2408
00000000_[10분 강의]제 57회 (갈등에 대해서).txt,100,2061,2254
00000000_[10분 강의]제 58회 (씨 뿌리는 사람).txt,90,2995,3312
00000000_[10분 강의]제 59회 (감정기복).txt,90,1818,1962
00000000_[10분 강의]제 60회 (순교에 대해서).txt,90,2161,2456
00000000_[10분 강의]제 61회 (마르코복음 말씀 묵상).txt,80,2491,2766
00000000_[10분 강의]제 62회 (정신건강지수).txt,80,3488,3820
00000000_[10분 강의]제 63회 (우울한 분들을 위한 이야기).txt,70,2252,2385
00000000_[10분 강의]제 64회 (우도의 선택).txt,80,1670,1896
00000000_[10분 강의]제 65회 (우울하신 분들을 위한 썰렁한 이야기).txt,90,873,1080
00000000_[10분 강의]제 66회 (사람의 마음).txt,90,1707,1917
00000000_[10분 강의]제 67회 (감사하는 마음의 의미).txt,80,1789,1972
00000000_[10분 강의]제 68회 (겸손이란 어떤 것인가).txt,80,1993,2276
00000000_[10분 강의]제 69회 (과거란 무엇인가).txt,100,1916,2185
00000000_[10분 강의]제100회(자기문제에서 벗어나는 방법).txt,100,1579,1822
00000000_[10분 강의]제101회(마음 건강검진).txt,90,2864,3177
00000000_[10분 강의]제102회(코로나19사태에 대처하는 우리들의 마음).txt,90,3685,3821
00000000_[10분 강의]제103회(사탄에 대해서).txt,100,1546,1806
00000000_[10분 강의]제105회(누가 날 좋아하겠어).txt,90,1507,1683
00000000_[10분 강의]제106회(진상 신앙인).txt,90,4424,4499
00000000_[10분 강의]제107회(역경의 시간).txt,90,3992,4330
00000000_[10분 강의]제108회(악령 들린 사람들).txt,90,1886,2120
00000000_[10분 강의]제109회(사이비 종교의 특징).txt,90,13370,12766
00000000_[10분 강의]제110회(마음은 마음먹기 나름).txt,100,2462,2769
00000000_[10분 강의]제111회(엄마와 아기).txt,80,2768,3007
00000000_[10분 강의]제112회(위대한 리더란).txt,90,2024,2211
00000000_[10분 강의]제113회(노이로제란 무엇인가).txt,90,2452,2567
00000000_[10분 강의]제114회(심리적 방역).txt,90,13435,11627
00000000_[10분 강의]제115회(불안과 기분).txt,90,2914,3019
00000000_[10분 강의]제116회(믿음의 효용성).txt,90,2538,2867
00000000_[10분 강의]제117회(쫄지마!!).txt,90,3683,3988
00000000_[10분 강의]제118회(불안 종합 정리).txt,90,6555,5695
00000000_[10분 강의]제119회(미신과 종교).txt,90,2644,2910
00000000_[10분 강의]제120회(그리스도교의 편협함).txt,80,3263,3522
00000000_[10분 강의]제121회(중독).txt,80,3261,3573
00000000_[10분 강의]제122회(인간성).txt,80,2747,2984
00000000_[10분 강의]제123회(미움).txt,80,4174,4599
00000000_[10분 강의]제124회(성경말씀중에서).txt,80,3818,3865
00000000_[10분 강의]제125회(눈덩이 효과).txt,90,2913,3161
00000000_[10분 강의]제126회(건강한 자기 성장).txt,90,4124,4471
00000000_[10분 강의]제127회(가톨릭이 왜 좋은가).txt,90,4325,4332
00000000_[10분 강의]제128회(감정에 대해서).txt,80,4670,4836
00000000_[10분 강의]제129회(감동하는 마음).txt,80,3130,3254
00000000_[10분 강의]제130회(한국인의 자존감).txt,90,7873,8073
00000000_[10분 강의]제131회(COMA_혼수상태).txt,80,4166,4394
00000000_[10분 강의]제132회(아이를 키운다는 것) 양육인가 사육인가.txt,90,2658,2655
00000000_[10분 강의]제133회(신앙생활에서의 나)나는 누구인가.txt,90,3835,3924
00000000_[10분 강의]제134회(신앙생활에 심리학이 필요한가).txt,90,2331,2602
00000000_[10분 강의]제135회(시간과 잠재력).txt,80,2804,2965
00000000_[10분 강의]제136회(강박적 신앙).txt,90,5036,5236
00000000_[10분 강의]제137회(선긋기).txt,90,2724,2866
00000000_[10분 강의]제138회(성령이란 어떤 분이신가).txt,90,2905,2906
00000000_[10분 강의]제139회(성공하는 사람과 실패하는 사람의 차이점).txt,100,2176,2360
00000000_[10분 강의]제140회(심리적으로 건강한 사람이란).txt,60,2832,3041
00000000_[10분 강의]제141회(자기발견_통찰).txt,60,2779,2980
00000000_[10분 강의]제142회(뒤바뀐 피해자와 가해자의 감정).txt,100,2285,2169
00000000_[10분 강의]제143회(종교인들의 연극성 성격장애).txt,100,3464,2765
00000000_[10분 강의]제144회(심리적 자기 이해).txt,60,2629,2832
00000000_[10분 강의]제145회(부정적 느낌과 감정).txt,90,2478,2497
00000000_[10분 강의]제146회(성격).txt,90,3360,3399
00000000_[10분 강의]제147회(미신과 신앙).txt,70,3373,3573
00000000_[10분 강의]제148회(믿음의 내용).txt,60,2660,2860
00000000_[10분 강의]제149회(신앙생활과 뇌 계발).txt,90,2411,2560
00000000_[10분 강의]제150회(이타적인 삶이란).txt,60,3772,3974
00000000_[10분 강의]제151회(내 마음 왜 이런지 몰라).txt,90,3965,4003
00000000_[10분 강의]제152회(위기관리능력).txt,90,3235,3389
00000000_[10분 강의]제153회(도덕적 잔소리꾼).txt,90,2913,2925
00000000_[10분 강의]제154회(일과 영성).txt,60,2927,3126
00000000_[10분 강의]제155회(사람 마음의 문제점).txt,60,3450,3654
"00000000_[10분 강의]제156회(고통,통증에 대해서).txt",90,3039,3188
00000000_[10분 강의]제157회(근사한 사람이란).txt,90,3309,3335
00000000_[10분 강의]제159회(심리적 암).txt,90,2948,3069
00000000_[10분 강의]제160회(인생의 덫).txt,70,1840,2039
00000000_[10분 강의]제161회(덜 떨어진 사람들).txt,90,2102,2217
00000000_[10분 강의]제162회(만성기분부전증).txt,90,2767,3028
00000000_[10분 강의]제163회(무의식에 대해서).txt,90,3370,3289
00000000_[10분 강의]제164회(내가 된다는 것).txt,90,2991,3032
00000000_[10분 강의]제165회(병적인 종교란).txt,100,3134,2960
00000000_[10분 강의]제166회(무능력자).txt,90,2455,2716
00000000_[10분 강의]제167회(스트레스에 대해서).txt,90,6168,5189
00000000_[10분 강의]제168회(심리적 지뢰).txt,100,2721,2815
00000000_[10분 강의]제169회(심리적 시야).txt,90,3223,3498
00000000_[10분 강의]제170회(나 자신을 미워한다면).txt,90,2992,3212
00000000_[10분 강의]제171회(변두리 인생).txt,90,1791,2030
00000000_[10분 강의]제172회(사람은 별).txt,100,1693,1941
00000000_[10분 강의]제173회 (광신도).txt,80,2597,2725
00000000_[10분 강의]제174회 (조기교육).txt,90,1856,2080
00000000_[10분 강의]제175회 (세례자 요한에 대하여).txt,90,2970,3129
00000000_[10분 강의]제176회 (흔들리는 인간).txt,90,3491,3724
00000000_[10분 강의]제177회 (강물같은 사람).txt,90,4488,4741
00000000_[10분 강의]제178회 (성공하는 사람들).txt,90,5126,4918
00000000_[10분 강의]제179회 (광야에서 받으신 유혹).txt,90,3115,3409
00000000_[10분 강의]제180회 (갈릴래아 전도 시작).txt,90,3538,3379
00000000_[10분 강의]제181회 (강박신경증적 신앙).txt,90,3189,3446
00000000_[10분 강의]제182회 (신앙인의 자격상담사례를 통한 이야기).txt,90,3323,3292
00000000_[10분 강의]제183회 (수도자의 자격상담사례를 통한 이야기).txt,90,2553,2661
00000000_[10분 강의]제184회 (인격의 구멍 마르코 복음 1장 16절 17절).txt,90,4243,4653
00000000_[10분 강의]제185회 (신앙의 힘 상담사례를 통한 이야기).txt,90,2735,2981
00000000_[10분 강의]제186회 (권위에 대해서 마르코복음 1장 21~23절).txt,90,3317,3452
00000000_[10분 강의]제187회 (더러운 영 마르코복음 1장 24~28절).txt,90,3145,3401
00000000_[10분 강의]제188회 (인간은 대립적 존재).txt,90,3270,3479
00000000_[10분 강의]제189회 (시몬의 병든 장모를 고치시다마르코 복음 1장 29~31절).txt,90,3109,3406
00000000_[10분 강의]제190회 (자기애적 성격장애상담사례를 통한 이야기).txt,100,2333,2423
00000000_[10분 강의]제191회 (많은 병자를 고치신 예수님마르코 복음 1장 32~34절).txt,90,2636,2858
00000000_[10분 강의]제192회 (기도마르코 복음 1장 35절).txt,90,4602,5030
00000000_[10분 강의]제193회 (나병환자를 고치신 예수님마르코 복음 1장 40~42절).txt,90,2788,3043
00000000_[10분 강의]제194회 (중풍병자를 고치신 예수님마르코복음 2장 1~12절).txt,90,3491,3737
00000000_[10분 강의]제195회 (레위를 부르심마르코복음 2장 13~17절).txt,90,2464,2754
00000000_[10분 강의]제196회 (안식일의 주인마르코복음 2장 23~28절).txt,90,2420,2806
00000000_[10분 강의]제197회 (오그라든 손을 펴 주신 예수마르코복음 3장 1~6절).txt,90,3491,3877
00000000_[10분 강의]제198회 (호숫가에 모여든 군중마르코복음 3장 7~12절).txt,90,3511,3755
00000000_[10분 강의]제199회(열두 사도 마르코복음 3장 13~19절).txt,90,4193,4424
00000000_[10분 강의]제200회(베엘제불과 성령마르코복음 3장 27~30절).txt,90,2842,3125
00000000_[10분 강의]제201회(누가 내 어머니이고  내 형제들이냐마르코복음 3장 31~35절).txt,90,2279,2587
00000000_[10분 강의]제202회(씨 뿌리는 사람의 비유마르코복음 4장 1~9절).txt,90,3765,4099
00000000_[10분 강의]제203회(비유로 말씀하시는 이유마르코복음 4장 10~12절).txt,100,2967,3272
00000000_[10분 강의]제204회(씨 뿌리는 비유의 설명 마르코복음 4장 13~20절).txt,90,2819,3058
00000000_[10분 강의]제205회(등불의 비유 마르코복음 4장 21~25절).txt,90,3069,3326
00000000_[10분 강의]제206회 (저절로 자라는 씨앗의 비유마르코복음 4장 26절~29절).txt,90,3738,3794
00000000_[10분 강의]제207회 성경묵상의 중요성.txt,90,2063,2303
00000000_[10분 강의]제208회 내 마음의 소리가 들리세요.txt,90,1553,1827
00000000_[10분 강의]제209회 기도하다 졸았어요.txt,100,849,1086
00000000_[10분 강의]제210회(고요하고 잠잠해져라 마르코 4장 37절~40절).txt,90,2838,3131
00000000_[10분 강의]제211회 내안의 나와 마주 보세요.txt,90,2516,2854
00000000_[10분 강의]제212회 마음의 균형이 맞아야 건강해요.txt,90,2146,2340
00000000_[10분 강의]제213회 장점과 단점.txt,100,1435,1681
00000000_[10분 강의]제214회 사는게 힘들어요.txt,90,2266,2610
00000000_[10분 강의]제215회 사는게 힘들어요 II.txt,90,1871,2157
00000000_[10분 강의]제216회 변덕.txt,100,1927,2128
00000000_[10분 강의]제217회 결심.txt,90,996,1226
00000000_[10분 강의]제218회 내 마음속 아이와 대화.txt,90,1494,1727
00000000_[10분 강의]제219회 목표.txt,100,1761,2021
00000000_[10분 강의]제220회 행복의 조건.txt,90,1466,1739
00000000_[10분 강의]제221회 실패를 두려워 마세요.txt,100,923,1136
00000000_[10분 강의]제222회 가장 건강한 사람이란.txt,100,1114,1319
00000000_[10분 강의]제223회 짜증이 나는 이유.txt,90,1554,1799
00000000_[10분 강의]제224회 숨막히는 가톨릭 엄숙주의는 영성 아닌 콤플렉스.txt,70,10549,10973
00000000_[10분 강의]제225회 남편과 이혼하고 싶은데 가톨릭신자라 못해요.txt,60,3542,3815
00000000_[10분 강의]제226회 정신병을 치유하는 방법.txt,60,3323,3499
00000000_[10분 강의]제228회 성공은 성적순이 아니예요.txt,100,1153,1405
00000000_[10분 강의]제229회 내마음의 치료제.txt,90,1800,2032
00000000_[10분 강의]제230회 나도 모르는 진짜 나를 찾아서.txt,90,1536,1819
00000000_[10분 강의]제231회 진정한 자유는 스스로를 놓아준 순간부터 시작됩니다.txt,90,1861,2066
00000000_[10분 강의]제232회 미얀마를 위하여.txt,90,1625,1804
00000000_[10분 강의]제233회 내 마음은 얼마나 건강할까요.txt,90,2046,2407
00000000_[10분 강의]제234회 시간의 유한성을 망각하지 마세요.txt,90,1919,2237
"00000000_[10분 강의]제235회 여한없는 삶, 내 것 되지 말란 법 있나요.txt",90,1681,1891
00000000_[10분 강의]제236회 타인은 나의 거울.txt,90,1426,1662
00000000_[10분 강의]제237회 즐거움은 갇힌 문을 여는 열쇠입니다.txt,90,2076,2338
00000000_[10분 강의]제238회  세상살이에 지친 마음은 세상 안에서 해결하세요.txt,90,1567,1814
00000000_[10분 강의]제239회 병이 있는 곳에 약도 있다니까요.txt,90,1563,1833
00000000_[10분 강의]제240회 눈을 낮추면 비로소 보이는 행복 나뭇잎 하나.txt,100,1305,1576
00000000_[10분 강의]제241회 주님도 잠시 멈추셨습니다.txt,100,1463,1626
00000000_[10분 강의]제243회 행복을 다른 곳에서 찾지 마세요.txt,90,1548,1807
00000000_[10분 강의]제244회 새 술은 새 부대에.txt,100,1493,1795
00000000_[10분 강의]제245회 행복은 내 안에 있습니다.txt,100,1530,1750
00000000_[10분 강의]제246회 혼자 가는 길 끝없는 배움의 길.txt,100,2203,1967
00000000_[10분 강의]제247회 심리치료와 영성생활.txt,100,1646,1850
